id,number,title,comments,state,repo
1187405250,11695,Replace cluster metadata with slot specific dictionaries,62,closed,redis/redis
781687008,9788,Implement Multi Part AOF mechanism to avoid AOFRW overheads.,50,closed,redis/redis
1000636511,11012,reprocess command when client is unblocked on keys,50,closed,redis/redis
708741066,9357,Add support for list type to store elements larger than 4GB,20,closed,redis/redis
848083774,10285,Module Configurations,18,closed,redis/redis
1330220420,12109,Rdb channel for full sync,8,closed,redis/redis
704812552,9323,Replica keep serving data during repl-diskless-load=swapdb for better availability,29,closed,redis/redis
679711720,9166,Replication backlog and replicas use one global shared replication buffer,16,closed,redis/redis
898547197,10517,Improve slot migration reliability,61,closed,redis/redis
1783132907,13157,Change license from BSD-3 to dual RSALv2+SSPLv1,196,closed,redis/redis
704635272,9320,Fully abstract connection and make TLS dynamically loadable,64,closed,redis/redis
800629388,9934,Reduce system calls of write for client->reply by introducing writev,69,closed,redis/redis
684106783,9202,Unified Lua and modules reply parsing and added resp3 support to RM_Call,10,closed,redis/redis
807240324,9974,ACL V2 - Selectors and key based permissions,20,closed,redis/redis
844152705,10273,Add reply_schema to command json files (internal for now),21,closed,redis/redis
717501951,9406,Add a special notification unlink available only for modules,63,closed,redis/redis
727491105,9462,Added INFO LATENCYSTATS section: latency by percentile distribution/latency by cumulative distribution of latencies,17,closed,redis/redis
734424022,9504,Treat subcommands as commands,6,closed,redis/redis
626211325,8887,Replace all usage of ziplist with listpack for t_hash,34,closed,redis/redis
1063828813,11303,Add listpack encoding for list,25,closed,redis/redis
587187802,8621,Sharded pubsub implementation,23,closed,redis/redis
762179279,9656,Auto-generate the command table from JSON files,10,closed,redis/redis
1179001907,11659,Custom authentication for Modules,8,closed,redis/redis
746852127,9572,Sort out the mess around writable replicas and lookupKeyRead/Write,41,closed,redis/redis
2274220370,13740,Add internal connection and command mechanism,12,closed,redis/redis
791825176,9872,Wait for replicas when shutting down,7,closed,redis/redis
900609526,10536,Introduce Shard IDs to logically group nodes in cluster mode,50,closed,redis/redis
675270696,9127,Add stream consumer group lag tracking and reporting,12,closed,redis/redis
820750162,10108,Command info module API,10,closed,redis/redis
1142128764,11568,Support for RM_Call on blocking commands,22,closed,redis/redis
1288422918,11963,Add basic eventloop latency measurement.,24,closed,redis/redis
785706732,9822,introduce dynamic client reply buffer size - save memory on idle clients,39,closed,redis/redis
1623708200,12822,Refactor the per-slot dict-array db.c into a new kvstore data structure,11,closed,redis/redis
745794646,9564,Cluster human readable nodename feature ,26,closed,redis/redis
898376761,10515,Reimplement cli hints based on command arg docs,35,closed,redis/redis
994439132,10966,Add RM_SetContextUser to support acl validation in RM_Call (and scripts),14,closed,redis/redis
379148615,6929,"Adds new pop-push commands (LMOVE, BLMOVE)",57,closed,redis/redis
598926411,8687,Client eviction,9,closed,redis/redis
375590056,6891,Make INFO command variadic ,14,closed,redis/redis
545244953,8242,"Use FD_CLOEXEC in Sentinel, so that FDs don't leak to the scripts it runs",72,closed,redis/redis
749819424,9601,Add sanitizer support and clean up sanitizer findings,15,closed,redis/redis
1822355948,13209,Hash Field Expiration - listpack support ,4,closed,redis/redis
